time,coin,dir,px,sz,ntl,fee,closedPnl
2/12/2026 - 13:28:30,HYPE,Open Short,29.469,1.16,34.18404,0.004922,-0.004922
2/12/2026 - 13:28:30,HYPE,Open Short,29.469,1.27,37.42563,0.005389,-0.005389
2/12/2026 - 13:29:33,HYPE,Close Short,29.439,1.57,46.21923,0.006655,0.040445
2/12/2026 - 13:29:33,HYPE,Short > Long,29.439,1.87,55.05093,0.007927,0.017873
2/12/2026 - 13:29:56,HYPE,Open Long,29.421,1.04,30.59784,0.004406,-0.004406
2/12/2026 - 13:32:17,HYPE,Close Long,29.419,0.97,28.53643,0.004109,-0.014585
2/12/2026 - 13:33:20,HYPE,Long > Short,29.415,1.35,39.71025,0.005718,-0.021702
2/12/2026 - 13:33:25,HYPE,Open Short,29.433,1.91,56.21703,0.008095,-0.008095
2/12/2026 - 13:33:26,HYPE,Open Short,29.441,1.8,52.9938,0.007631,-0.007631
2/12/2026 - 13:33:26,HYPE,Open Short,29.441,0.3,8.8323,0.001271,-0.001271
2/12/2026 - 13:33:28,HYPE,Open Short,29.466,1.99,58.63734,0.008443,-0.008443
2/12/2026 - 13:34:14,HYPE,Open Short,29.481,1.5,44.2215,0.006367,-0.006367
2/12/2026 - 13:34:31,HYPE,Open Short,29.487,1.14,33.61518,0.00484,-0.00484
2/12/2026 - 13:35:04,HYPE,Open Short,29.499,0.9,26.5491,0.003823,-0.003823
2/12/2026 - 13:35:18,HYPE,Open Short,29.513,1.34,39.54742,0.005694,-0.005694
2/12/2026 - 13:35:19,HYPE,Open Short,29.517,0.39,11.51163,0.001657,-0.001657
2/12/2026 - 13:35:19,HYPE,Open Short,29.517,0.49,14.46333,0.002082,-0.002082
2/12/2026 - 13:35:43,HYPE,Open Short,29.517,1.34,39.55278,0.005695,-0.005695
2/12/2026 - 13:36:41,HYPE,Open Short,29.518,1.13,33.35534,0.004803,-0.004803
2/12/2026 - 13:36:49,HYPE,Open Short,29.534,1.05,31.0107,0.004465,-0.004465
2/12/2026 - 13:37:01,HYPE,Close Short,29.492,3.63,107.05596,0.015416,-0.05099
2/12/2026 - 13:37:11,HYPE,Open Short,29.537,1.97,58.18789,0.008379,-0.008379
2/12/2026 - 13:38:33,HYPE,Close Short,29.486,2.14,63.10004,0.009086,-0.000526
2/12/2026 - 13:39:51,HYPE,Open Short,29.526,1.09,32.18334,0.004634,-0.004634
2/12/2026 - 13:39:53,HYPE,Open Short,29.535,0.42,12.4047,0.001786,-0.001786
2/12/2026 - 13:39:53,HYPE,Open Short,29.535,0.25,7.38375,0.001063,-0.001063
2/12/2026 - 13:40:11,HYPE,Close Short,29.503,3.3,97.3599,0.014019,-0.040089
2/12/2026 - 13:41:13,HYPE,Open Short,29.546,1.58,46.68268,0.006722,-0.006722
2/12/2026 - 13:41:36,HYPE,Close Short,29.508,2.13,62.85204,0.00905,-0.022043
2/12/2026 - 13:44:16,HYPE,Close Short,29.479,1.56,45.98724,0.006622,0.029102
2/12/2026 - 13:44:17,HYPE,Close Short,29.46,2.3,67.758,0.009757,0.086613
2/12/2026 - 13:46:15,HYPE,Close Short,29.462,2.1,61.8702,0.008909,0.074881
2/12/2026 - 13:47:16,HYPE,Open Short,29.505,0.39,11.50695,0.001657,-0.001657
2/12/2026 - 13:48:47,HYPE,Close Short,29.451,1.56,45.94356,0.006615,0.073257
2/12/2026 - 13:48:50,HYPE,Close Short,29.441,0.83,24.43603,0.003518,0.047278
2/12/2026 - 13:50:10,HYPE,Close Short,29.428,1.37,40.31636,0.005805,0.095849
2/12/2026 - 13:50:10,HYPE,Short > Long,29.428,0.46,13.53688,0.001949,0.022537
2/12/2026 - 13:50:43,HYPE,Open Long,29.407,1.59,46.75713,0.006733,-0.006733
2/12/2026 - 13:50:43,HYPE,Open Long,29.406,2.36,69.39816,0.009993,-0.009993
2/12/2026 - 13:50:57,HYPE,Open Long,29.396,0.82,24.10472,0.003471,-0.003471
2/12/2026 - 13:50:57,HYPE,Open Long,29.387,2.18,64.06366,0.009225,-0.009225
2/12/2026 - 13:51:22,HYPE,Open Long,29.376,1.66,48.76416,0.007022,-0.007022
2/12/2026 - 13:55:03,HYPE,Close Long,29.426,2.1,61.7946,0.008898,0.055992
2/12/2026 - 13:55:17,HYPE,Close Long,29.435,1.73,50.92255,0.007332,0.061695
2/12/2026 - 13:56:03,HYPE,Close Long,29.448,0.37,10.89576,0.001568,0.018005
2/12/2026 - 13:56:03,HYPE,Close Long,29.448,1.11,32.68728,0.004706,0.054013
2/12/2026 - 13:56:03,HYPE,Close Long,29.45,2.26,66.557,0.009584,0.11449
2/12/2026 - 13:56:03,HYPE,Close Long,29.461,1.09,32.11249,0.004624,0.067207
2/12/2026 - 13:56:49,HYPE,Long > Short,29.474,1.93,56.88482,0.008191,-0.001879
